name,url,followers_public,profile_description,profile_image_url,status
Ingrid De Sá,https://www.instagram.com/doutoradequebrada/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Luis Guilherme Barros,https://www.instagram.com/luisgbarros/,,,,429
Bora Comer SJC,https://www.instagram.com/boracomersjc/,,,,429
Explorando Por Ai,https://www.instagram.com/explorandoporai__/,,,,429
@pamelarosaskt,https://www.instagram.com/pamelarosaskt/,,,,429
Inspire Outras,https://www.instagram.com/inspireoutras/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Lívia Graziele,https://www.instagram.com/liviagrazielesjc/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Bruno (Aventuragens),https://www.instagram.com/aventuragens/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Explore SJC,https://www.instagram.com/exploresjc/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
@revistaurbanova,https://www.instagram.com/revistaurbanova/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Isabella Nayara,https://www.instagram.com/isanaayara/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Marcela Mesquita,https://www.instagram.com/mesquita.marcela/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Camila Morita,https://www.instagram.com/moritacamila/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Fabi Pupio,https://www.instagram.com/fabipupio/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
@ritacoellho,https://www.instagram.com/ritacoellho/,,,,429
Jeito Jéssica De Ser,https://www.instagram.com/jeitojessicadeser/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Mariana Ferri Davila,https://www.instagram.com/mariferridavila/,,,,429
Carlos Abranches,https://www.instagram.com/carlosabranchesoficial/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Fica Dica SJC,https://www.instagram.com/ficadicasjc/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
robsonrogeer,https://www.instagram.com/robsonrogeer/,,,,429
Mayumi Kuramoto,https://www.instagram.com/mayuminkuramoto/,,,,429
Carolina Castro,https://www.instagram.com/carolcastrod/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
SJC_ity,https://www.instagram.com/sjc_ity/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
SJC Festas,https://www.instagram.com/sjcfestas/,,,,429
Yuri Alberto (Corinthians),https://www.instagram.com/yurialberto/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
